Public Food Key,Classification,Food Name,"Energy, with dietary fibre","Energy, without dietary fibre",Moisture (water),Protein,Nitrogen,Total fat,Ash,Total dietary fibre,Alcohol,Fructose,Glucose,Sucrose,Maltose,Lactose,Galactose,Maltotriose,Total sugars,Added sugars,Free sugars,Starch,Dextrin,Glycerol,Glycogen,Inulin,Mannitol,Maltodextrin,Oligosaccharides,Raffinose,Stachyose,Sorbitol,Resistant starch,"Available carbohydrate, without sugar alcohols","Available carbohydrate, with sugar alcohols",Acetic acid,Citric acid,Fumaric acid,Lactic acid,Malic acid,Oxalic acid,Propionic acid,Quinic acid,Succinic acid,Tartaric acid,Aluminium (Al),Antimony (Sb),Arsenic (As),Cadmium (Cd),Calcium (Ca),Chromium (Cr),Chloride (Cl),Cobalt (Co),Copper (Cu),Fluoride (F),Iodine (I),Iron (Fe),Lead (Pb),Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molybdenum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Sulphur (S),Tin (Sn),Zinc (Zn),Retinol (preformed vitamin A),Alpha-carotene,Beta-carotene,Cryptoxanthin,Beta-carotene equivalents (provitamin A),Vitamin A retinol equivalents,Lutein,Lycopene,Xanthophyl,Thiamin (B1),Riboflavin (B2),Niacin (B3),Niacin derived from tryptophan,Niacin derived equivalents,Pantothenic acid (B5),Pyridoxine (B6),Biotin (B7),Cobalamin (B12),"Folate, natural",Folic acid,Total folates,Dietary folate equivalents,Vitamin C,Cholecalciferol (D3),Ergocalciferol (D2),25-hydroxy cholecalciferol (25-OH D3),25-hydroxy ergocalciferol (25-OH D2),Vitamin D3 equivalents,Alpha tocopherol,Alpha tocotrienol,Beta tocopherol,Beta tocotrienol,Delta tocopherol,Delta tocotrienol,Gamma tocopherol,Gamma tocotrienol,Vitamin E,C4,,C6,,C8,,C10,,C11,,C12,,C13,,C14,,C15,,C16,,C17,,C18,,C19,,C20,,C21,,C22,,C23,,C24,,Total saturated fatty acids,,C12:1,,C14:1,,C15:1,,C16:1,,C17:1,,C18:1,,C20:1,,C22:1,,C24:1,,Total monounsaturated fatty acids,,C16:2w4,,C16:3,,C18:2w6,,C18:3w3,,C18:3w4,,C18:3w6,,C18:4w1,,C18:4w3,,C20:2w6,,C20:3w3,,C20:3w6,,C20:4w3,,C20:4w6,,C20:5w3,,C22:2w6,,C22:4w6,,C22:5w3,,C22:5w6,,C22:6w3,,Other polyunsaturated fatty acids,,Total polyunsaturated fatty acids,,Total long chain omega 3 fatty acids,,Total undifferentiated fatty acids,,Total trans fatty acids,,Caffeine,Cholesterol,Tryptophan,,Alanine,,Arginine,,Aspartic acid,,Cystine plus cysteine,,Glutamic acid,,Glycine,,Histidine,,Isoleucine,,Leucine,,Lysine,,Methionine,,Phenylalanine,,Proline,,Serine,,Threonine,,Tyrosine,,Valine,
,,,kJ,kJ,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,ug,ug,ug,ug,mg,ug,mg,ug,mg,ug,ug,mg,ug,mg,mg,ug,ug,ug,mg,mg,ug,mg,mg,ug,mg,ug,ug,ug,ug,ug,ug,ug,ug,ug,mg,mg,mg,mg,mg,mg,mg,ug,ug,ug,ug,ug,ug,mg,ug,ug,ug,ug,ug,mg,mg,mg,mg,mg,mg,mg,mg,mg,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,g,%,mg,%,g,%,g,%,g,%,g,%,mg,%,g,%,mg,%,mg,%,mg,%,mg,%,mg,%,mg,%,mg,%,mg,%,mg,%,mg,%,g,%,mg,%,g,%,mg,%,g,%,mg,%,mg,mg,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg,mg/g N,mg
F009351,31401,"Vanilla, artificial or imitation",231,231,85.6,0,0,0,0.1,0,0,,,,,,,,14.4,0,0,0,,,,,,,,,,,,14.4,14.4,,,,,,,,,,,,,,,3,,,,,,0.2,0.05,,1,,,,,0,0,0,3,,,0.01,0,,0,,0,0,,,,0.003,0.029,0.13,0,0.13,,0.01,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000996,29101,"Beer, high alcohol (5% v/v & above)",176,176,92.8,0.5,0.08,0,0,0,4.6,0,0,0,0.2,0,,0.1,0.2,0,0,0,1.3,,,,,0.5,,,,,,2.1,2.1,0,0,,0,0,,,0,0,0.1,1.6,0,0,0,4,0.2,39,,0.003,60.6,0,0.01,0,9,0.226,0,0.2,1,23,55,0,4,8,0,0,0,0,0,0,0,0,,,,0,0.04,0,0.06,0.06,0,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000994,29101,"Beer, full strength (alcohol 4-4.9% v/v)",153,153,93.9,0.4,0.06,0,0.1,0,3.7,0,0,0,0,0,,0,0.1,0,0,0,1.8,,,,,0.4,,,,,,2.3,2.3,0,0,,0,0,,,0,0,0.1,1.9,0,0,0,4,0.2,25,,0.002,50.5,0,0,0,6,0.034,0,0,1,16,36,0,5,11,0,0,0,0,0,0,0,0,,,,0,0.03,0,0.05,0.05,0,0.03,0.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000995,29101,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",127,127,95.5,0.3,0.05,0,0,0,3.6,0,0,0,0,0,,0,0,0,0,0,0.8,,,,,0.2,,,,,,1,1,0,0,,0,0,,,0,0,0,1.3,,0,0,3,0,19,,0.001,70.7,0,0.01,0,5,0.008,,0,1,16,28,0,4,7,,0,0,0,0,0,0,0,,,,0,0,0,0.03,0.03,0,0.03,0.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F001006,29102,"Beer, mid-strength (alcohol 3-3.9% v/v)",129,129,95,0.3,0.05,0,0,0,3,0,0,0,0,0,,0.1,0,0,0,0,2,,,,,0,,,,,,2.2,2.2,0,0,,0,0,,,0,0,0.1,2.1,,0,0,4,0,28,,0.002,82.82,0,0,0,5,0.008,,0,1,12,31,0,3,7,,0,0,0,0,0,0,0,,,,0,0,0,0.03,0.03,0,0.03,0.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F001004,29102,"Beer, light (alcohol 1- less than 3% v/v)",101,101,95.4,0.2,0.03,0,0,0,2.1,0,0,0,0,0,,0,0,0,0,0,1.9,,,,,0.2,,,,,,2.2,2.2,0,0,,0,0,,,0,0,0,0,,0,0,3,0,28,,0.001,82.82,0,0,0,5,0.006,,0,1,12,28,0,3,7,,0,0,0,0,0,0,0,,,,0,0,0,0.02,0.02,0,0.03,0.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000051,29301,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",857,857,64.2,0,0,0,0,0,29.5,0,0,0.1,0,0,,,0.1,0,0,0,,,,,,,,,,,,0.1,0.1,,,,,,,,,,,,,,,1,,0,,0.006,43.2,0,0.05,,0,0,,,,0,1,0,3,0,,0.02,0,,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000050,29301,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",290,290,83,0,0,0,0,0,9.8,0,0,0.3,0,0,,,0.3,0,0,0,,,,,,,,,,,,0.3,0.3,,,,,,,,,,,,,,,1,,1,,0.01,61.44,0,0.06,,1,0,,,,0,1,0,2,2,,0.06,0,,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002955,29401,"Cider, apple (alcohol approximately 4-5% v/v)",211,211,90.1,0,0,0,0,0,4,1.6,1.7,2.3,0,0,,,5.7,0,5.7,0,,,,,,,,,,,,5.7,5.7,0,0.2,,0,0.3,,,,0,0,26.5,,0,0,3,0.3,0,,0.006,0.07,0,0.02,0.1,2,0.013,,0,,12,56,0,3,,,0.01,0,0,0,0,0,0,,,,0,0,0,0,0,0,0.02,,0,0,0,0,0,2,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009572,29201,"Wine, red, cabernet sauvignon",329,329,85.2,0.3,0.05,0,0.3,0,10.9,0.1,0.1,0,0,0,,,0.2,0,0.2,0,,,,,,,,,,,,0.2,0.2,0,0,,0.2,0,,,0,0.2,0.2,20.9,,0,0,7,1,24,,0.024,18.81,1.7,0.15,0,13,0.113,,0,,35,116,0,4,14,,0.07,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009574,29201,"Wine, red, merlot",326,326,85.4,0.3,0.05,0,0.2,0,10.8,0.2,0.2,0,0,0,,,0.4,0,0.4,0,,,,,,,,,,,,0.4,0.4,0,0,,0.1,0,,,0,0.1,0.3,20.7,,0,0,7,0.6,24,,0.022,18.81,1.5,0.17,0,12,0.11,,0,,26,90,0,5,14,,0.07,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009575,29201,"Wine, red, pinot noir",318,318,86,0.2,0.03,0,0.3,0,10.6,0,0.1,0,0,0,,,0.2,0,0.2,0,,,,,,,,,,,,0.2,0.2,0.1,0,,0.2,0,,,0,0.1,0.2,22.4,,0,0,7,0.8,24,,0.015,18.81,0,0.17,0,15,0.156,,0,,32,90,0,2,14,,0.1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009577,29201,"Wine, red, shiraz",338,338,84.6,0.2,0.03,0,0.3,0,11.4,0.1,0.1,0,0,0,,,0.1,0,0.2,0,,,,,,,,,,,,0.1,0.1,0,0,,0.1,0,,,0,0.2,0.3,16.7,,0,0,6,1,24,,0.017,18.81,2.2,0.18,0,15,0.122,,0,,32,114,0,7,14,,0.09,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009571,29201,"Wine, red",332,332,85,0.2,0.04,0,0.3,0,11.1,0.1,0.1,0,0,0,,,0.2,0,0.2,0,,,,,,,,,,,,0.2,0.2,0,0,,0.2,0,,,0,0.2,0.2,18.9,,0,0,7,0.9,24,,0.019,18.81,1.7,0.17,0,14,0.122,,0,,32,110,0,5,14,,0.08,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,0,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009573,29201,"Wine, red, cooked",122,122,94.2,0.3,0.04,0,0.3,0,3.9,0.1,0.1,0,0,0,,,0.2,0,0,0,,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,8,,,,,,1.5,0,,16,,,,,35,114,0,5,,,0.09,0,,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009578,29201,"Wine, red, sparkling",338,338,85.5,0.2,0.03,0,0.3,0,10.3,,,,,,,,2,0,2,0,,,,,,,,,,,,2,2,0,0,,0.1,0,,,0,0.2,0.3,15.9,,0,0,6,1,24,,0.016,19,2.2,0.18,0,15,0.126,,0,,33,117,0,7,14,,0.1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009579,29201,"Wine, rose",289,289,88.2,0.2,0.03,0,0.2,0,9.4,0.5,0.2,0,0,0,,,0.7,0,0.7,0,,,,,,,,,,,,0.7,0.7,0,0,,0,0.2,,,0,0.1,0.3,38.2,,0,0,8,0.2,21,,0.021,20,2,0.08,0,11,0.114,,0,,27,51,0,5,20,,0.06,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009583,29202,"Wine, white, sauvignon blanc",293,293,87.4,0.2,0.03,0,0.2,0,9.8,0,0.1,0,0,0,,,0.1,0,0.1,0,,,,,,,,,,,,0.1,0.1,0,0.1,,0,0.3,,,0,0.1,0.2,64.6,,0,0,8,0,19,,0.014,19.8,0,0.09,0.8,8,0.063,,0,,18,56,0,2,16,,0.06,0,0,0,0,0,0,,,,0,0,0,0.01,0.01,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009584,29202,"Wine, white, semillon",267,267,88.3,0.2,0.03,0,0.2,0,8.9,0.1,0.1,0,0,0,,,0.2,0,0.2,0,,,,,,,,,,,,0.2,0.2,0,0,,0,0.2,,,0,0.1,0.3,43.2,,0.2,0,9,1.3,19,,0.02,19.8,0,0.21,0.9,7,0.084,,0.2,,25,57,0,6,16,,0.07,0,0,0,0,0,0,,,,0,0,0,0.01,0.01,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009582,29202,"Wine, white, chardonnay",307,307,86.8,0.3,0.05,0,0.1,0,10.2,0.1,0.1,0,0,0,,,0.3,0,0.3,0,,,,,,,,,,,,0.3,0.3,0,0,,0.1,0.2,,,0,0.1,0.2,55.1,,0,0,7,0.4,19,,0.015,19.8,0,0.17,0.7,11,0.105,,0,,25,52,0,4,16,,0.09,0,0,0,0,0,0,,,,0,0,0,0.01,0.01,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009586,29202,"Wine, white, riesling",292,292,88.5,0.2,0.03,0,0.1,0,9.6,0.3,0.1,0,0,0,,,0.4,0,0.4,0,,,,,,,,,,,,0.4,0.4,0,0,,0,0.2,,,0,0.1,0.3,41.5,,0,0.3,10,0.8,,,0.029,18,1.5,0.1,0.7,20,0.074,,0,,23,44,0,7,16,,0.08,0,0,0,0,0,0,,,,0,0,0,0.01,0.01,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009581,29202,"Wine, white",301,301,88.1,0.3,0.04,0,0.1,0,10,0.1,0.1,0,0,0,,,0.2,0,0.2,0,,,,,,,,,,,,0.2,0.2,0,0,,0.1,0.2,,,0,0.1,0.2,55,,0,0,8,0.5,,,0.016,19.9,0.1,0.16,0.7,10,0.093,,0,,23,53,0,4,16,,0.08,0,0,0,0,0,0,,,,0,0,0,0.01,0.01,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,0,,,,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009580,29202,"Wine, white, cooked",107,107,94.6,0.2,0.04,0,0.2,0,3.4,0.2,0.1,0,0,0,,,0.3,0,1.2,0,,,,,,,,,,,,0.3,0.3,,,,,,,,,,,,,,,9,,,,,,0.4,0.15,,12,,,,,25,56,0,5,,,0.08,0,,0,,0,0,,,,0,0,0.01,0.01,0.02,,0.06,,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009590,29202,"Wine, white, sparkling",306,306,88.3,0.2,0.03,0,0.1,0,9.8,0.5,0.5,0,0,0,,,1,0,1,0,,,,,,,,,,,,1,1,0,0,,0.3,0,,,0,0,0.3,43.2,,0.1,0,7,0.6,14,,0.015,18,0,0.2,0.1,9,0.093,,0,,20,35,0,2,13,,0.06,0,0,0,0,0,0,,,,0,0,0,0.01,0.01,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009592,29202,"Wine, white, sweet dessert style",517,517,74,0.4,0.07,0,0.4,0,8.8,9.5,5.8,0,0,0,,,15.3,0,15.3,0,,,,,,,,,,,,15.3,15.3,0.1,0,,0,0.8,,,,0,0.3,150.4,,1.5,0,15,2.1,,,0.009,,1.9,0.2,2,19,0.191,,1.4,,50,105,0,13,,,0.1,0,0,0,0,0,0,,,,0,0,0,0.02,0.02,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009566,29203,"Wine, fortified, port",624,624,73.7,0.2,0.03,0,0.3,0,14.2,7.6,5.3,0,0,0,,,12.9,0,12.9,0,,,,,,,,,,,,12.9,12.9,0.1,0,,0,0.2,,,0,,0.1,,,,,5,,23,,0.01,28.08,0,0.2,,10,0.083,,,,19,85,0,16,32,,0.06,0,,0,,0,0,,,,0,0,0,0,0,,0.09,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
